City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,tutoia,-2.7619,-42.2744,299.24,87,1,4.37,BR,1688434224
353,cerrito,6.8432,-72.694,284.21,92,41,3.2,CO,1688434224
354,marzuq,14.4,46.4667,298.3,71,62,3.3,YE,1688434225
355,lodja,-3.4833,23.4333,293.6,60,4,0.54,CD,1688434226
356,hami,42.8,93.45,301.86,11,0,3.24,CN,1688434215
357,praxedis guerrero,31.3667,-106.0167,304.85,35,30,10.71,MX,1688434227
358,peski,55.2163,38.7626,285.79,81,2,2.77,RU,1688434228
359,noumea,-22.2763,166.4572,296.14,99,100,5.64,NC,1688434228
360,puerto carreno,6.189,-67.4859,298.62,87,100,1.51,CO,1688434229
361,pahasu,28.1833,78.05,305.83,58,7,3.1,IN,1688434230
362,pangnirtung,66.1451,-65.7125,277.27,83,84,2.63,CA,1688434230
363,kijang,35.2442,129.2139,301.0,93,100,1.93,KR,1688434231
364,yokadouma,3.5167,15.05,293.35,98,16,0.89,CM,1688434232
365,victoria,22.2855,114.1577,304.44,83,14,4.02,HK,1688434133
366,tiassale,5.8983,-4.8283,295.74,99,91,0.99,CI,1688434233
